"","Perioden","PrijsindexVerkoopprijzen_1","OntwikkelingTOVVoorgaandePeriode_2","OntwikkelingTOVEenJaarEerder_3","VerkochteWoningen_4","OntwikkelingTOVVoorgaandePeriode_5","OntwikkelingTOVEenJaarEerder_6","GemiddeldeVerkoopprijs_7","TotaleWaardeVerkoopprijzen_8"
"1","1995MM01",28.8,NA,NA,8793,NA,NA,88991,782
"2","1995MM02",28.9,0.7,NA,10103,14.9,NA,89741,907
"3","1995MM03",29,0.2,NA,11838,17.2,NA,90432,1071
"4","1995KW01",28.9,NA,NA,30734,NA,NA,89792,2760
"5","1995MM04",29.2,0.6,NA,10626,-10.2,NA,89808,954
"6","1995MM05",29.3,0.3,NA,12746,20,NA,92326,1177
"7","1995MM06",29.5,0.7,NA,13682,7.3,NA,93652,1281
"8","1995KW02",29.3,1.4,NA,37054,20.6,NA,92094,3412
"9","1995MM07",29.8,1,NA,14346,4.9,NA,95222,1366
"10","1995MM08",30,0.9,NA,13580,-5.3,NA,96583,1312
"11","1995MM09",30.1,0.3,NA,12572,-7.4,NA,95676,1203
"12","1995KW03",30,2.3,NA,40498,9.3,NA,95819,3880
"13","1995MM10",30.2,0.2,NA,13629,8.4,NA,95076,1296
"14","1995MM11",30.4,0.7,NA,13363,-2,NA,95408,1275
"15","1995MM12",30.6,0.7,NA,19290,44.4,NA,96804,1867
"16","1995KW04",30.4,1.4,NA,46282,14.3,NA,95892,4438
"17","1995JJ00",29.6,NA,NA,154568,NA,NA,93750,14491
"18","1996MM01",31,1.2,7.7,10193,-47.2,15.9,96767,986
"19","1996MM02",31.2,0.6,7.6,12061,18.3,19.4,96539,1164
"20","1996MM03",31.3,0.6,8.1,13415,11.2,13.3,98188,1317
"21","1996KW01",31.2,2.5,7.8,35669,-22.9,16.1,97224,3468
"22","1996MM04",31.8,1.5,9,14610,8.9,37.5,99609,1455
"23","1996MM05",32.2,1.3,10.1,15548,6.4,22,101317,1575
"24","1996MM06",32.4,0.4,9.8,13652,-12.2,-0.2,99819,1363
"25","1996KW02",32.1,3.1,9.6,43810,22.8,18.2,100280,4393
"26","1996MM07",32.8,1.3,10.1,17802,30.4,24.1,104167,1854
"27","1996MM08",33.2,1.2,10.5,14922,-16.2,9.9,105608,1576
"28","1996MM09",33.5,0.9,11.1,13858,-7.1,10.2,104589,1449
"29","1996KW03",33.1,3.2,10.5,46582,6.3,15,104754,4880
"30","1996MM10",33.7,0.6,11.5,14781,6.7,8.5,104819,1549
"31","1996MM11",34,1.1,12,14700,-0.5,10,106055,1559
"32","1996MM12",34.2,0.4,11.7,20209,37.5,4.8,108073,2184
"33","1996KW04",34,2.5,11.7,49690,6.7,7.4,106508,5292
"34","1996JJ00",32.6,10,10,175751,13.7,13.7,102607,18033
"35","1997MM01",34.5,0.8,11.2,10660,-47.3,4.6,105876,1129
"36","1997MM02",34.9,1.4,12.1,11837,11,-1.9,107567,1273
"37","1997MM03",35.2,0.9,12.4,13266,12.1,-1.1,107769,1430
"38","1997KW01",34.9,2.7,11.9,35763,-28,0.3,107138,3832
"39","1997MM04",35.6,0.9,11.8,15328,15.5,4.9,109670,1681
"40","1997MM05",35.9,0.9,11.3,15688,2.3,0.9,110859,1739
"41","1997MM06",36.1,0.7,11.7,16144,2.9,18.3,112207,1811
"42","1997KW02",35.9,2.8,11.6,47160,31.9,7.6,110934,5232
"43","1997MM07",36.6,1.1,11.5,18483,14.5,3.8,114344,2113
"44","1997MM08",37,1.3,11.6,15506,-16.1,3.9,116161,1801
"45","1997MM09",37,0,10.7,15630,0.8,12.8,116411,1820
"46","1997KW03",36.9,2.8,11.3,49619,5.2,6.5,115563,5734
"47","1997MM10",37.5,1.3,11.4,16640,6.5,12.6,116785,1943
"48","1997MM11",37.8,0.7,11,14415,-13.4,-1.9,115768,1669
"49","1997MM12",37.9,0.2,10.8,22037,52.9,9,117870,2598
"50","1997KW04",37.7,2.3,11.1,53092,7,6.8,116960,6210
"51","1997JJ00",36.3,11.5,11.5,185634,5.6,5.6,113163,21007
"52","1998MM01",38.1,0.6,10.6,10084,-54.2,-5.4,118196,1192
"53","1998MM02",38.5,1.1,10.3,12637,25.3,6.8,118483,1497
"54","1998MM03",38.7,0.5,9.9,15407,21.9,16.1,119635,1843
"55","1998KW01",38.5,1.9,10.3,38128,-28.2,6.6,118873,4532
"56","1998MM04",39.1,1,10,15145,-1.7,-1.2,120019,1818
