"","Year","RegioS","RegioS_label","BronInkomenAlsWerknemer_141"
"1",2023,"PV20  ","Groningen (PV)",37.5
"2",2023,"PV21  ","Fryslân (PV)",37.9
"3",2023,"PV22  ","Drenthe (PV)",39.7
"4",2023,"PV23  ","Overijssel (PV)",39.5
"5",2023,"PV24  ","Flevoland (PV)",40.4
"6",2023,"PV25  ","Gelderland (PV)",40.6
"7",2023,"PV26  ","Utrecht (PV)",44.4
"8",2023,"PV27  ","Noord-Holland (PV)",44.7
"9",2023,"PV28  ","Zuid-Holland (PV)",42.4
"10",2023,"PV29  ","Zeeland (PV)",40.3
"11",2023,"PV30  ","Noord-Brabant (PV)",41.8
"12",2023,"PV31  ","Limburg (PV)",39.9
