"","Year","RegioS_label","InkomenWerknemer","GemiddeldeWOZ","AffordabilityRatio","WOZ_growth_yoy","Income_growth_yoy","GrowthGap_yoy"
"1",2015,"Nederland",30.3,206,6.7986798679868,NA,NA,NA
"2",2016,"Nederland",31.4,208,6.62420382165605,0.970873786407767,3.63036303630362,-2.65948924989585
"3",2017,"Nederland",32,217,6.78125,4.32692307692308,1.91082802547771,2.41609505144538
"4",2018,"Nederland",32.3,230,7.12074303405573,5.99078341013826,0.937499999999991,5.05328341013827
"5",2019,"Nederland",33.7,250,7.41839762611276,8.69565217391304,4.33436532507743,4.36128684883561
"6",2020,"Nederland",35.3,271,7.67705382436261,8.40000000000001,4.74777448071215,3.65222551928785
"7",2021,"Nederland",37.1,290,7.8167115902965,7.0110701107011,5.09915014164308,1.91191996905802
"8",2022,"Nederland",39,317,8.12820512820513,9.31034482758621,5.12129380053907,4.18905102704714
"9",2023,"Nederland",41.8,368,8.80382775119617,16.0883280757098,7.17948717948718,8.90884089622261
"10",2024,"Nederland",44.7,378,8.45637583892617,2.71739130434783,6.93779904306222,-4.22040773871439
